,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Hour,Duration
20,A-1223,MapQuest,201.0,3,2016-06-25 05:26:00,2016-06-25 06:26:00,37.767639,-122.396194,,,0.0,Accident on I-280 Southbound at Exit 57 King St.,,I-280 S,R,San Francisco,San Francisco,CA,94158,US,US/Pacific,KOAK,2016-06-25 05:53:00,57.0,,83.0,29.97,10.0,Calm,,,Clear,False,False,False,False,False,False,True,False,False,False,False,False,False,Night,Day,Day,Day,5,60
26,A-1390,MapQuest,201.0,3,2016-06-27 09:18:30,2016-06-27 09:48:30,37.721279,-122.448204,,,0.0,Fast lane blocked due to accident on I-280 Northbound after Geneva Ave.,,Geneva Ave,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-06-27 08:56:00,60.1,,67.0,30.03,10.0,WNW,11.5,,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,9,30
28,A-1471,MapQuest,201.0,3,2016-06-27 19:51:11,2016-06-27 20:21:11,37.726318,-122.44603700000002,,,0.0,Accident on I-280 Southbound at Exit 51 Ocean Ave.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-06-27 19:56:00,62.1,,62.0,29.95,10.0,WNW,21.9,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,19,30
41,A-1978,MapQuest,201.0,3,2016-07-03 12:41:58,2016-07-03 13:26:58,37.721279,-122.448204,,,0.0,Left hand shoulder blocked due to accident on I-280 Northbound at Exit 51 Ocean Ave.,,Geneva Ave,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-07-03 12:56:00,66.0,,68.0,30.04,10.0,NNE,12.7,,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,12,45
72,A-3320,MapQuest,201.0,2,2016-07-16 16:30:27,2016-07-16 17:30:27,37.740299,-122.407852,,,0.0,Accident on US-101 Northbound at Exits 430A 430B 431 I-280.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2016-07-16 16:56:00,71.1,,53.0,29.85,10.0,NW,16.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16,60
73,A-3449,MapQuest,201.0,3,2016-07-19 00:44:54,2016-07-19 01:44:54,37.726318,-122.44603700000002,,,0.0,Accident on I-280 Southbound at Exit 51 Ocean Ave.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-07-19 00:56:00,57.0,,83.0,30.09,10.0,West,9.2,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,0,60
75,A-3555,MapQuest,229.0,3,2016-07-20 13:05:18,2016-07-20 13:52:46,37.712471,-122.453362,,,0.0,Slow traffic due to accident on I-280 Southbound at Exit 50 Alemany Blvd.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-07-20 12:56:00,66.0,,60.0,30.06,10.0,NW,18.4,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,47
77,A-3614,MapQuest,343.0,3,2016-07-21 00:28:00,2016-07-21 00:58:00,37.761818,-122.40586100000002,,,0.0,Queueing traffic and right hand shoulder blocked due to accident now on the shoulder on US-101 Northbound at Exit 433A Vermont St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-07-21 00:53:00,57.9,,81.0,30.06,10.0,WSW,10.4,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,0,30
85,A-4018,MapQuest,201.0,3,2016-07-24 08:09:03,2016-07-24 15:04:00,37.721279,-122.448204,,,0.0,Right hand shoulder blocked due to accident on I-280 Northbound at Geneva Ave.,,Geneva Ave,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-07-24 07:56:00,60.1,,72.0,29.87,10.0,WNW,8.1,,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,8,414
87,A-4033,MapQuest,201.0,3,2016-07-24 16:16:37,2016-07-24 17:46:37,37.740299,-122.407852,,,0.0,Accident on I-280 Northbound at Exits 54 54A 54B US-101.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2016-07-24 15:56:00,66.0,,59.0,29.86,10.0,WNW,24.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16,90
95,A-4490,MapQuest,201.0,3,2016-07-27 20:36:37,2016-07-27 21:06:37,37.767666,-122.395859,,,0.0,Accident on I-280 Northbound at Exit 57 King St.,,John F Foran Fwy N,R,San Francisco,San Francisco,CA,94158,US,US/Pacific,KOAK,2016-07-27 20:53:00,60.1,,83.0,29.89,10.0,WNW,12.7,,Scattered Clouds,False,False,False,False,False,False,True,False,False,False,False,False,False,Night,Day,Day,Day,20,30
101,A-4798,MapQuest,201.0,2,2016-07-30 05:34:41,2016-07-30 06:04:41,37.727322,-122.402733,,,0.0,Accident on US-101 Southbound at Exits 430A 430B 431 I-280.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-07-30 05:56:00,54.0,,93.0,29.8,10.0,WNW,9.2,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,5,30
107,A-5198,MapQuest,201.0,3,2016-12-01 12:54:47,2016-12-01 13:24:05,37.767666,-122.395859,,,0.01,Accident on I-280 Northbound at Exit 57 King St.,,John F Foran Fwy N,R,San Francisco,San Francisco,CA,94158,US,US/Pacific,KOAK,2016-12-01 12:53:00,59.0,,49.0,30.1,10.0,NW,10.4,,Partly Cloudy,False,False,False,False,False,False,True,False,False,False,False,False,False,Day,Day,Day,Day,12,29
